iter	Passed	Remaining
252	43640	473838
253	43896	474571
254	44108	474811
255	44499	476977
256	44687	476952
257	44829	476447
258	44974	475963
259	45134	475648
260	45287	475256
261	45452	474998
262	45651	475085
263	45810	474764
264	45977	474519
265	46146	474300
266	46304	473966
267	46485	473875
268	46654	473660
269	46809	473293
270	46963	472928
271	47121	472604
272	47280	472290
273	47424	471823
274	47571	471393
275	47791	471678
276	47967	471531
277	48100	470972
278	48272	470784
279	48420	470367
280	48587	470144
281	48748	469856
282	48894	469423
283	49067	469249
284	49286	469521
285	49432	469094
286	49606	468929
287	49763	468607
288	49923	468311
289	50095	468132
290	50227	467586
291	50399	467404
292	50524	466795
293	50651	466197
294	50780	465632
295	50911	465087
296	51074	464830
297	51207	464305
298	51365	464006
299	51502	463519
300	51692	463513
301	51852	463240
302	51992	462782
303	52126	462282
304	52290	462042
305	52450	461768
306	52614	461532
307	52751	461061
308	52907	460757
309	53096	460741
310	53230	460244
311	53406	460116
312	53545	459674
313	53831	460485
314	53968	460014
315	54116	459644
316	54258	459231
317	54430	459060
318	54596	458851
319	54738	458436
320	54879	458014
321	55056	457888
322	55221	457669
323	55408	457634
324	55586	457518
325	55776	457502
326	55916	457080
327	56072	456783
328	56312	457178
329	56475	456939
330	56602	456412
331	56737	455951
332	56987	456410
333	57146	456147
334	57282	455692
335	57492	455832
336	57643	455506
337	57796	455190
338	57944	454837
339	58086	454445
340	58241	454147
341	58398	453872
342	58546	453525
343	58734	453482
344	58896	453245
345	59082	453191
346	59243	452946
347	59431	452910
348	59570	452493
349	59749	452390
350	59918	452203
351	60065	451858
352	60221	451579
353	60460	451920
354	60648	451874
355	60830	451787
356	60982	451472
357	61140	451212
358	61321	451117
359	61495	450968
360	61675	450863
361	61832	450588
362	62022	450562
363	62179	450286
364	62401	450486
365	62532	450029
366	62702	449855
367	62839	449439
368	62971	448993
369	63122	448678
370	63250	448205
371	63394	447848
372	63554	447607
373	63738	447535
374	63946	447625
375	64106	447384
376	64271	447173
377	64424	446879
378	64582	446623
379	64757	446482
380	64933	446350
381	65123	446315
382	65363	446623
383	65534	446455
384	65694	446213
385	65835	445842
386	66030	445832
387	66227	445839
388	66437	445934
389	66617	445825
390	66793	445685
391	66946	445400
392	67089	445043
393	67261	444882
394	67421	444638
395	67575	444360
396	67740	444154
397	67945	444205
398	68095	443901
